시장,종목명,티커,신호일,종가,RSI,거래량배수,20일후종가,20일수익률%,60일후종가,60일수익률%,신호후최저가,최대낙폭%,-8%손절터치,전방봉수
NASDAQ100,Advanced Micro Devices,AMD,2023-05-08,95.04,58.77,1.61,124.23,30.71,113.15,19.06,93.43,-1.69,미터치,60
KOSPI200,코스맥스,192820,2023-05-10,80200.0,55.73,2.61,87700.0,9.35,104200.0,29.93,78900.0,-1.62,미터치,60
KOSPI200,HS효성첨단소재,298050,2023-05-10,421000.0,53.74,1.53,472500.0,12.23,459000.0,9.03,411500.0,-2.26,미터치,60
KOSPI200,두산,000150,2023-05-11,96500.0,52.04,2.02,100900.0,4.56,107500.0,11.4,84100.0,-12.85,터치,60
KOSPI200,동원산업,006040,2023-05-12,45738.0,57.38,2.24,39419.0,-13.82,35872.0,-21.57,32507.0,-28.93,터치,60
KOSPI200,현대제철,004020,2023-06-14,34650.0,52.23,2.46,33450.0,-3.46,38550.0,11.26,32600.0,-5.92,미터치,60
KOSPI200,현대모비스,012330,2023-06-27,230000.0,59.51,1.85,241000.0,4.78,242500.0,5.43,223000.0,-3.04,미터치,60
KOSPI200,삼성전기,009150,2023-07-13,148200.0,58.12,1.74,149900.0,1.15,140000.0,-5.53,131400.0,-11.34,터치,60
KOSPI200,아세아,002030,2023-07-14,146300.0,58.97,3.4,170500.0,16.54,171200.0,17.02,142300.0,-2.73,미터치,60
KOSPI200,기업은행,024110,2023-07-14,10360.0,56.74,1.59,10410.0,0.48,11830.0,14.19,10030.0,-3.19,미터치,60
KOSPI200,TKG휴켐스,069260,2023-07-14,22950.0,59.57,1.52,22450.0,-2.18,22200.0,-3.27,20350.0,-11.33,터치,60
KOSPI200,한올바이오파마,009420,2023-07-18,20550.0,49.94,2.78,22150.0,7.79,33900.0,64.96,20850.0,1.46,미터치,60
KOSPI200,유한양행,000100,2023-07-19,57424.0,56.38,1.83,70154.0,22.17,58764.0,2.33,56850.0,-1.0,미터치,60
NASDAQ100,Mondelez International,MDLZ,2023-07-21,73.98,57.74,3.05,71.13,-3.85,62.62,-15.36,60.75,-17.88,터치,60
NASDAQ100,Monster Beverage,MNST,2023-07-21,58.1,55.88,2.52,57.36,-1.27,48.67,-16.23,47.13,-18.88,터치,60
KOSPI200,HS효성첨단소재,298050,2023-07-31,475000.0,57.27,3.27,444500.0,-6.42,357000.0,-24.84,327500.0,-31.05,터치,60
NASDAQ100,Palo Alto Networks,PANW,2023-08-21,120.4,58.63,3.47,118.08,-1.93,130.59,8.45,112.32,-6.71,미터치,60
NASDAQ100,Autodesk,ADSK,2023-08-24,208.6,53.72,1.96,204.04,-2.19,217.33,4.19,192.01,-7.95,미터치,60
KOSPI200,HD현대중공업,329180,2023-08-29,133400.0,56.17,1.52,120300.0,-9.82,125000.0,-6.3,101500.0,-23.91,터치,60
NASDAQ100,Palantir Technologies,PLTR,2023-09-29,16.0,57.43,1.65,15.07,-5.81,17.68,10.5,14.48,-9.5,터치,60
KOSPI200,한국콜마,161890,2023-10-17,52200.0,55.7,1.73,47300.0,-9.39,54300.0,4.02,45200.0,-13.41,터치,60
KOSPI200,삼성증권,016360,2023-10-18,37750.0,53.82,2.87,39200.0,3.84,36900.0,-2.25,35150.0,-6.89,미터치,60
KOSPI200,HD현대마린엔진,071970,2023-10-18,10160.0,53.63,1.52,9660.0,-4.92,12410.0,22.15,8960.0,-11.81,터치,60
KOSPI200,한국콜마,161890,2023-10-18,52600.0,57.12,1.66,47150.0,-10.36,52300.0,-0.57,45200.0,-14.07,터치,60
KOSPI200,삼성에스디에스,018260,2023-10-30,138900.0,55.94,1.52,158900.0,14.4,157400.0,13.32,131200.0,-5.54,미터치,60
